snapped_at,market_cap,total_volume
1594425600000,276905590836.86993,36665724972.05013
1594512000000,277055132357.82513,32330090415.03463
1594598400000,278973983474.9337,34261312986.28025
1594684800000,277286096208.4561,41025441711.40025
1594771200000,278439751262.4044,37603634325.51901
1594857600000,278099134350.56433,33727805094.274727
1594944000000,274864351153.9515,39883825391.324394
1595030400000,275759224441.6566,32043721141.093685
1595116800000,277045007906.34,30808269472.867752
1595203200000,278706275324.7234,32753113534.753895
1595289600000,275944410158.7979,35558380384.6455
1595376000000,283059552559.8975,39628320702.204384
1595462400000,289226460582.8605,39299180876.885765
1595548800000,292041697264.08984,51113989810.78467
1595635200000,291362019357.193,57249064122.89069
1595721600000,300604981823.92914,62042052043.286575
1595808000000,308828556030.7619,67810835662.59688
1595894400000,326639256956.20844,93805202857.2471
1595980800000,327549260130.5788,82446211527.3907
1596067200000,331788349436.00354,73783850392.49695
1596153600000,334324746213.0087,73132479660.24042
1596240000000,341763704358.371,73827746133.6748
1596326400000,361256519554.92584,86258628265.11751
1596412800000,340264643968.2073,94353289056.63838
1596499200000,348578412393.24603,76307031620.29665
1596585600000,349248652558.0163,74175318457.49068
1596672000000,361747981944.62445,74991148447.928
1596758400000,363434599904.1442,75184954998.5418
1596844800000,357044620753.3933,81565910078.7198
1596931200000,365911327357.5923,70414057427.22716
1597017600000,366282807306.2878,71527866263.782
1597104000000,372044214186.14276,85239667495.19452
1597190400000,357108147513.8246,87689240016.20038
1597276800000,364956100389.49554,84197222723.76907
1597363200000,375327497463.21173,92480317315.55318
1597449600000,377946041321.22644,84095639804.61992
1597536000000,382016530527.95276,59666826938.034096
1597622400000,383341082778.4741,55026233726.89049
1597708800000,393050476025.4175,64758689730.22445
1597795200000,383236909196.8509,88697291763.44089
1597881600000,374377686680.2632,86341845195.1661
1597968000000,381714048045.3073,80486135718.28645
1598054400000,366179580071.6616,91079439013.39738
1598140800000,378275987891.19104,80385518604.11572
1598227200000,376558604943.20526,73850509357.66997
1598313600000,383222431221.0188,76852866620.61165
1598400000000,368962870941.44055,86248822976.78683
1598486400000,373597175859.7302,81946839111.25555
1598572800000,366488479963.2529,131259371196.25122
1598659200000,376435661750.3027,77433284327.807
1598745600000,379040807686.5595,76664517159.47763
1598832000000,389323037573.2256,101081199951.25763
1598918400000,390155106452.5865,84970403468.52487
1599004800000,403489004875.737,99249665224.71739
1599091200000,383800770911.91626,98826454076.71252
1599177600000,339804288640.26794,98209792580.28156
1599264000000,348641968853.26056,97940217994.91237
1599350400000,327907689560.08527,109083309922.69344
1599436800000,336920899901.3145,98965456446.13844
1599523200000,337579455420.7692,92041377016.02286
1599609600000,329579008275.6766,89764883267.21745
1599696000000,339195553870.9134,79395349367.20888
